,T,spd,pwr,g_1,g_2,g_3
0,07.04.2021 9:24:54,1.6,6.1,100000.0,9900000000.0,9900000000.0
1,07.04.2021 9:24:56,1.6,8.0,100000.0,9900000000.0,9900000000.0
2,07.04.2021 9:24:58,1.6,7.5,100000.0,9900000000.0,9900000000.0
3,07.04.2021 9:25:00,1.6,8.0,100000.0,9900000000.0,9900000000.0
4,07.04.2021 9:25:03,1.6,8.4,100000.0,9900000000.0,9900000000.0
5,07.04.2021 9:25:04,1.6,7.5,100000.0,9900000000.0,9900000000.0
6,07.04.2021 9:25:07,1.6,8.4,100000.0,9900000000.0,9900000000.0
7,07.04.2021 9:25:09,1.6,8.0,100000.0,9900000000.0,9900000000.0
8,07.04.2021 9:25:11,1.6,5.8,100000.0,9900000000.0,9900000000.0
9,07.04.2021 9:25:13,1.6,6.1,100000.0,9900000000.0,9900000000.0
10,07.04.2021 9:25:15,1.6,8.0,100000.0,9900000000.0,9900000000.0
11,07.04.2021 9:25:17,1.6,6.1,100000.0,9900000000.0,9900000000.0
12,07.04.2021 9:25:19,1.6,7.5,100000.0,9900000000.0,9900000000.0
13,07.04.2021 9:25:21,1.6,7.0,100000.0,9900000000.0,9900000000.0
14,07.04.2021 9:25:23,1.6,6.8,100000.0,9900000000.0,9900000000.0
15,07.04.2021 9:25:25,1.6,7.3,100000.0,9900000000.0,9900000000.0
16,07.04.2021 9:25:27,1.6,5.4,100000.0,9900000000.0,9900000000.0
17,07.04.2021 9:25:29,1.6,8.0,100000.0,9900000000.0,9900000000.0
18,07.04.2021 9:25:31,1.6,8.0,100000.0,9900000000.0,9900000000.0
19,07.04.2021 9:25:33,1.6,6.5,100000.0,9900000000.0,9900000000.0
20,07.04.2021 9:25:35,1.6,6.1,100000.0,9900000000.0,9900000000.0
21,07.04.2021 9:25:38,1.6,8.0,100000.0,9900000000.0,9900000000.0
22,07.04.2021 9:25:40,1.6,8.4,100000.0,9900000000.0,9900000000.0
23,07.04.2021 9:25:42,1.6,7.3,100000.0,9900000000.0,9900000000.0
24,07.04.2021 9:25:44,1.6,6.1,100000.0,9900000000.0,9900000000.0
25,07.04.2021 9:25:46,1.6,6.1,100000.0,9900000000.0,9900000000.0
26,07.04.2021 9:25:48,1.6,6.1,100000.0,9900000000.0,9900000000.0
27,07.04.2021 9:25:50,1.6,7.5,100000.0,9900000000.0,9900000000.0
28,07.04.2021 9:25:52,1.6,6.3,100000.0,9900000000.0,9900000000.0
29,07.04.2021 9:25:54,1.6,8.2,100000.0,9900000000.0,9900000000.0
30,07.04.2021 9:25:56,1.6,6.1,100000.0,9900000000.0,9900000000.0
31,07.04.2021 9:25:58,1.6,8.4,100000.0,9900000000.0,9900000000.0
32,07.04.2021 9:26:00,1.6,6.1,100000.0,9900000000.0,9900000000.0
33,07.04.2021 9:26:02,1.6,5.4,100000.0,9900000000.0,9900000000.0
34,07.04.2021 9:26:04,1.6,7.3,100000.0,9900000000.0,9900000000.0
35,07.04.2021 9:26:06,1.6,6.1,100000.0,9900000000.0,9900000000.0
36,07.04.2021 9:26:08,1.6,6.1,100000.0,9900000000.0,9900000000.0
37,07.04.2021 9:26:10,1.6,8.2,100000.0,9900000000.0,9900000000.0
38,07.04.2021 9:26:13,1.6,7.5,100000.0,9900000000.0,9900000000.0
39,07.04.2021 9:26:15,1.6,8.2,100000.0,9900000000.0,9900000000.0
40,07.04.2021 9:26:16,1.6,8.2,100000.0,9900000000.0,9900000000.0
41,07.04.2021 9:26:19,1.6,7.5,100000.0,9900000000.0,9900000000.0
42,07.04.2021 9:26:21,1.6,7.0,100000.0,9900000000.0,9900000000.0
43,07.04.2021 9:26:23,1.6,6.1,100000.0,9900000000.0,9900000000.0
44,07.04.2021 9:26:25,1.6,8.0,100000.0,9900000000.0,9900000000.0
45,07.04.2021 9:26:27,1.6,8.0,100000.0,9900000000.0,9900000000.0
46,07.04.2021 9:26:29,1.6,7.0,100000.0,9900000000.0,9900000000.0
47,07.04.2021 9:26:31,1.6,8.2,100000.0,9900000000.0,9900000000.0
48,07.04.2021 9:26:33,1.6,8.4,100000.0,9900000000.0,9900000000.0
49,07.04.2021 9:26:35,1.6,6.1,100000.0,9900000000.0,9900000000.0
