,T,spd,pwr,g_1,g_2,g_3
0,0,1.6,6.1,100000.0,9900000000.0,9900000000.0
1,2,1.6,8.0,100000.0,9900000000.0,9900000000.0
2,4,1.6,7.5,100000.0,9900000000.0,9900000000.0
3,6,1.6,8.0,100000.0,9900000000.0,9900000000.0
4,9,1.6,8.4,100000.0,9900000000.0,9900000000.0
5,10,1.6,7.5,100000.0,9900000000.0,9900000000.0
6,13,1.6,8.4,100000.0,9900000000.0,9900000000.0
7,15,1.6,8.0,100000.0,9900000000.0,9900000000.0
8,17,1.6,5.8,100000.0,9900000000.0,9900000000.0
9,19,1.6,6.1,100000.0,9900000000.0,9900000000.0
10,21,1.6,8.0,100000.0,9900000000.0,9900000000.0
11,23,1.6,6.1,100000.0,9900000000.0,9900000000.0
12,25,1.6,7.5,100000.0,9900000000.0,9900000000.0
13,27,1.6,7.0,100000.0,9900000000.0,9900000000.0
14,29,1.6,6.8,100000.0,9900000000.0,9900000000.0
15,31,1.6,7.3,100000.0,9900000000.0,9900000000.0
16,33,1.6,5.4,100000.0,9900000000.0,9900000000.0
17,35,1.6,8.0,100000.0,9900000000.0,9900000000.0
18,37,1.6,8.0,100000.0,9900000000.0,9900000000.0
19,39,1.6,6.5,100000.0,9900000000.0,9900000000.0
20,41,1.6,6.1,100000.0,9900000000.0,9900000000.0
21,44,1.6,8.0,100000.0,9900000000.0,9900000000.0
22,46,1.6,8.4,100000.0,9900000000.0,9900000000.0
23,48,1.6,7.3,100000.0,9900000000.0,9900000000.0
24,50,1.6,6.1,100000.0,9900000000.0,9900000000.0
25,52,1.6,6.1,100000.0,9900000000.0,9900000000.0
26,54,1.6,6.1,100000.0,9900000000.0,9900000000.0
27,56,1.6,7.5,100000.0,9900000000.0,9900000000.0
28,58,1.6,6.3,100000.0,9900000000.0,9900000000.0
29,60,1.6,8.2,100000.0,9900000000.0,9900000000.0
30,62,1.6,6.1,100000.0,9900000000.0,9900000000.0
31,64,1.6,8.4,100000.0,9900000000.0,9900000000.0
32,66,1.6,6.1,100000.0,9900000000.0,9900000000.0
33,68,1.6,5.4,100000.0,9900000000.0,9900000000.0
34,70,1.6,7.3,100000.0,9900000000.0,9900000000.0
35,72,1.6,6.1,100000.0,9900000000.0,9900000000.0
36,74,1.6,6.1,100000.0,9900000000.0,9900000000.0
37,76,1.6,8.2,100000.0,9900000000.0,9900000000.0
38,79,1.6,7.5,100000.0,9900000000.0,9900000000.0
39,81,1.6,8.2,100000.0,9900000000.0,9900000000.0
40,82,1.6,8.2,100000.0,9900000000.0,9900000000.0
41,85,1.6,7.5,100000.0,9900000000.0,9900000000.0
42,87,1.6,7.0,100000.0,9900000000.0,9900000000.0
43,89,1.6,6.1,100000.0,9900000000.0,9900000000.0
44,91,1.6,8.0,100000.0,9900000000.0,9900000000.0
45,93,1.6,8.0,100000.0,9900000000.0,9900000000.0
46,95,1.6,7.0,100000.0,9900000000.0,9900000000.0
47,97,1.6,8.2,100000.0,9900000000.0,9900000000.0
48,99,1.6,8.4,100000.0,9900000000.0,9900000000.0
49,101,1.6,6.1,100000.0,9900000000.0,9900000000.0
50,103,1.6,8.0,100000.0,9900000000.0,9900000000.0
51,105,1.6,7.5,100000.0,9900000000.0,9900000000.0
52,107,1.6,8.2,100000.0,9900000000.0,9900000000.0
53,109,1.6,6.1,100000.0,9900000000.0,9900000000.0
54,111,1.6,8.0,100000.0,9900000000.0,9900000000.0
55,114,1.6,6.1,100000.0,9900000000.0,9900000000.0
56,116,1.6,8.2,100000.0,9900000000.0,9900000000.0
57,118,1.6,8.0,100000.0,9900000000.0,9900000000.0
58,120,1.6,8.2,100000.0,9900000000.0,9900000000.0
59,122,1.6,6.1,100000.0,9900000000.0,9900000000.0
60,124,1.6,7.0,100000.0,9900000000.0,9900000000.0
61,126,1.6,7.3,100000.0,9900000000.0,9900000000.0
62,128,1.6,7.0,100000.0,9900000000.0,9900000000.0
63,130,1.6,6.1,100000.0,9900000000.0,9900000000.0
64,132,1.6,7.5,100000.0,9900000000.0,9900000000.0
65,134,1.6,7.5,100000.0,9900000000.0,9900000000.0
66,136,1.6,8.2,100000.0,9900000000.0,9900000000.0
67,138,1.6,8.2,100000.0,9900000000.0,9900000000.0
68,140,1.6,6.1,100000.0,9900000000.0,9900000000.0
69,142,1.6,8.2,100000.0,9900000000.0,9900000000.0
70,144,1.6,7.0,53571.0,9900000000.0,9900000000.0
71,146,1.6,8.2,15576.0,9900000000.0,9900000000.0
72,149,1.6,6.3,7228.8,9900000000.0,9900000000.0
73,151,1.6,7.3,4227.3,9900000000.0,9900000000.0
74,153,1.6,6.1,2302.3,9900000000.0,9900000000.0
75,155,1.6,6.5,1279.3,9900000000.0,9900000000.0
76,157,1.6,6.1,719.52,9900000000.0,9900000000.0
77,159,1.6,6.1,410.45,9900000000.0,9900000000.0
78,161,1.6,7.5,237.75,9900000000.0,9900000000.0
79,163,1.6,6.1,154.86,9900000000.0,9900000000.0
80,165,1.6,8.0,98.518,9900000000.0,9900000000.0
81,167,1.6,8.2,65.632,9900000000.0,9900000000.0
82,169,1.6,7.5,46.547,9900000000.0,9900000000.0
83,171,1.6,7.0,34.962,9900000000.0,9900000000.0
84,173,1.6,7.5,27.271,9900000000.0,9900000000.0
85,175,1.6,8.0,23.114,9900000000.0,9900000000.0
86,177,1.6,5.6,19.512,9900000000.0,9900000000.0
87,179,1.6,6.1,16.788,9900000000.0,9900000000.0
